sample_id	split	dataset_version
SMP_c8ac38f240f75862	val	0.1.0
SMP_4716503617ace23a	train	0.1.0
SMP_30128827fb51cc4b	test	0.1.0
SMP_9f2c7744072111fb	val	0.1.0
SMP_a08b148f59baf0c0	train	0.1.0
SMP_8f71c46e31b4d998	train	0.1.0
SMP_8682649cac421cd4	train	0.1.0
SMP_5ac1268f96bdd591	test	0.1.0
SMP_7d6be822794ac0a8	test	0.1.0
SMP_6c88aeb739c15da0	train	0.1.0
SMP_ae6b2401c072f85d	train	0.1.0
SMP_2af595c6cb1c74ff	train	0.1.0
SMP_fb20c9f8e2d7cfe5	val	0.1.0
SMP_720dfd73503498ae	val	0.1.0
SMP_23ef32fcc70e03ef	test	0.1.0
SMP_17f32850151bc71d	train	0.1.0
SMP_7093ff2e858909ce	train	0.1.0
SMP_fabac72cde163373	test	0.1.0
SMP_2217c898bc652e56	train	0.1.0
SMP_8674db626d3c0a74	train	0.1.0
SMP_dc780360737da723	val	0.1.0
SMP_ce9c83d4d9b72220	train	0.1.0
SMP_86b312b1dcfacab8	train	0.1.0
SMP_d5678d76b170e4b3	train	0.1.0
SMP_6ef0beaf4b2eecd0	train	0.1.0
SMP_92d796ffea5029b3	train	0.1.0
SMP_4f04c6520db3e03c	train	0.1.0
SMP_def936aefede8c76	test	0.1.0
SMP_d001ec2210512e8e	test	0.1.0
SMP_7ef9a970a6894e93	train	0.1.0
SMP_769f338222e7047f	train	0.1.0
SMP_8d2f955ba7c487c1	test	0.1.0
SMP_9eef71c6a3b93032	train	0.1.0
SMP_f0cb64af80bc3fac	train	0.1.0
SMP_214d96163a341813	train	0.1.0
SMP_c49f92a2ebd9714a	train	0.1.0
SMP_3bfb555f3aade400	train	0.1.0
SMP_42062135c135b680	train	0.1.0
SMP_e250768bbadad4d1	train	0.1.0
SMP_f6ea20deb0066e1c	train	0.1.0
SMP_2e5fc5d8088413fd	test	0.1.0
SMP_0250e697ee87a183	train	0.1.0
SMP_8bbf7cf76fd1a66f	val	0.1.0
SMP_1b15c4641d1f4568	train	0.1.0
SMP_9f9d33fab905589b	train	0.1.0
SMP_516473ffba74d305	train	0.1.0
SMP_fda7a2a02a448191	train	0.1.0
SMP_50f21ff8dbcce5a4	train	0.1.0
SMP_833ad7dda42f9db2	train	0.1.0
SMP_143f1c098349ed0d	test	0.1.0
SMP_a80388b48f00531e	val	0.1.0
SMP_bcb5f21aae242531	train	0.1.0
SMP_845a4b936c0ffc35	val	0.1.0
SMP_5b5569edb1473f22	train	0.1.0
SMP_be8d2d4df125f07c	train	0.1.0
SMP_22265f95cb07c31e	train	0.1.0
